municipio,consorcio,anos,tendencia,nivel,pos_intervencao,PIB
Afrânio,CISAPE,2009,8,1,2,72009.0
Afrânio,CISAPE,2010,9,1,3,82805.0
Afrânio,CISAPE,2011,10,1,4,94983.0
Afrânio,CISAPE,2012,11,1,5,108331.0
Afrânio,CISAPE,2013,12,1,6,123723.0
Afrânio,CISAPE,2014,13,1,7,133466.0
Afrânio,CISAPE,2015,14,1,8,143591.0
Afrânio,CISAPE,2016,15,1,9,150207.0
Afrânio,CISAPE,2017,16,1,10,166154.0
Agrestina,COMAGSUL,2002,1,0,0,46045.0
Agrestina,COMAGSUL,2003,2,0,0,53172.0
Agrestina,COMAGSUL,2004,3,0,0,58749.0
Agrestina,COMAGSUL,2005,4,1,1,65941.0
Agrestina,COMAGSUL,2006,5,1,2,70931.0
Agrestina,COMAGSUL,2007,6,1,3,80198.0
Agrestina,COMAGSUL,2008,7,1,4,91602.0
Agrestina,COMAGSUL,2009,8,1,5,102180.0
Agrestina,COMAGSUL,2010,9,1,6,115743.0
Agrestina,COMAGSUL,2011,10,1,7,130074.0
Agrestina,COMAGSUL,2012,11,1,8,149573.0
Agrestina,COMAGSUL,2013,12,1,9,168244.0
Agrestina,COMAGSUL,2014,13,1,10,195479.0
Agrestina,COMAGSUL,2015,14,1,11,200478.0
Agrestina,COMAGSUL,2016,15,1,12,220756.0
Agrestina,COMAGSUL,2017,16,1,13,248265.0
Água Preta,COMSUL,2002,1,0,0,63874.0
Água Preta,COMSUL,2003,2,0,0,67081.0
Água Preta,COMSUL,2004,3,0,0,78521.0
Água Preta,COMSUL,2005,4,0,0,88390.0
Água Preta,COMSUL,2006,5,0,0,97465.0
Água Preta,COMSUL,2007,6,0,0,103309.0
Água Preta,COMSUL,2008,7,0,0,113005.0
Água Preta,COMSUL,2009,8,1,1,139841.0
Água Preta,COMSUL,2010,9,1,2,141819.0
Água Preta,COMSUL,2011,10,1,3,209774.0
Água Preta,COMSUL,2012,11,1,4,208802.0
Água Preta,COMSUL,2013,12,1,5,181039.0
Água Preta,COMSUL,2014,13,1,6,205770.0
Água Preta,COMSUL,2015,14,1,7,221673.0
Água Preta,COMSUL,2016,15,1,8,225878.0
Água Preta,COMSUL,2017,16,1,9,239879.0
Aliança,COMANAS,2002,1,0,0,81551.0
Aliança,COMANAS,2003,2,0,0,90636.0
Aliança,COMANAS,2004,3,0,0,97513.0
Aliança,COMANAS,2005,4,0,0,109647.0
Aliança,COMANAS,2006,5,0,0,137410.0
Aliança,COMANAS,2007,6,1,1,138455.0
Aliança,COMANAS,2008,7,1,2,158768.0
Aliança,COMANAS,2009,8,1,3,182353.0
Aliança,COMANAS,2010,9,1,4,200480.0
Aliança,COMANAS,2011,10,1,5,204928.0
Aliança,COMANAS,2012,11,1,6,212489.0
Aliança,COMANAS,2013,12,1,7,233526.0
Aliança,COMANAS,2014,13,1,8,257732.0
Aliança,COMANAS,2015,14,1,9,267519.0
Aliança,COMANAS,2016,15,1,10,299930.0
Aliança,COMANAS,2017,16,1,11,313660.0
Altinho,COMAGSUL,2002,1,0,0,38219.0
Altinho,COMAGSUL,2003,2,0,0,40244.0
Altinho,COMAGSUL,2004,3,0,0,45180.0
Altinho,COMAGSUL,2005,4,1,1,51447.0
Altinho,COMAGSUL,2006,5,1,2,55458.0
Altinho,COMAGSUL,2007,6,1,3,60048.0
Altinho,COMAGSUL,2008,7,1,4,68532.0
Altinho,COMAGSUL,2009,8,1,5,79387.0
Altinho,COMAGSUL,2010,9,1,6,88401.0
Altinho,COMAGSUL,2011,10,1,7,97856.0
Altinho,COMAGSUL,2012,11,1,8,110693.0
Altinho,COMAGSUL,2013,12,1,9,117968.0
Altinho,COMAGSUL,2014,13,1,10,134777.0
