,consorcio,anos,nivel,tendencia,pos_intervencao,PIB_consorcio
96,COMSUL,2002,0,1,0,63385.166666666664
97,COMSUL,2003,0,2,0,67904.0
98,COMSUL,2004,0,3,0,74344.5
99,COMSUL,2005,0,4,0,80676.16666666667
100,COMSUL,2006,0,5,0,89086.66666666667
101,COMSUL,2007,0,6,0,94103.5
102,COMSUL,2008,0,7,0,108532.83333333333
103,COMSUL,2009,1,8,1,127165.5
104,COMSUL,2010,1,9,2,147637.83333333334
105,COMSUL,2011,1,10,3,167679.83333333334
106,COMSUL,2012,1,11,4,172782.0
107,COMSUL,2013,1,12,5,165948.16666666666
108,COMSUL,2014,1,13,6,184519.33333333334
109,COMSUL,2015,1,14,7,189912.5
110,COMSUL,2016,1,15,8,208088.83333333334
111,COMSUL,2017,1,16,9,212600.5
112,CISAPE,2002,0,1,0,44553.583333333336
113,CISAPE,2003,0,2,0,49993.833333333336
114,CISAPE,2004,0,3,0,53962.25
115,CISAPE,2005,0,4,0,62161.666666666664
116,CISAPE,2006,0,5,0,72905.5
117,CISAPE,2007,0,6,0,79766.66666666667
118,CISAPE,2008,1,7,1,97565.41666666667
119,CISAPE,2009,1,8,2,106493.0
120,CISAPE,2010,1,9,3,125381.25
121,CISAPE,2011,1,10,4,139157.0
122,CISAPE,2012,1,11,5,160566.41666666666
123,CISAPE,2013,1,12,6,183003.33333333334
124,CISAPE,2014,1,13,7,201863.0
125,CISAPE,2015,1,14,8,205215.75
126,CISAPE,2016,1,15,9,218347.66666666666
127,CISAPE,2017,1,16,10,241595.33333333334
128,CIMPAJEU,2002,0,1,0,49229.25
129,CIMPAJEU,2003,0,2,0,50679.666666666664
130,CIMPAJEU,2004,0,3,0,54586.666666666664
131,CIMPAJEU,2005,1,4,1,62758.0
132,CIMPAJEU,2006,1,5,2,73725.58333333333
133,CIMPAJEU,2007,1,6,3,80466.16666666667
134,CIMPAJEU,2008,1,7,4,93980.75
135,CIMPAJEU,2009,1,8,5,106477.5
136,CIMPAJEU,2010,1,9,6,121743.91666666667
137,CIMPAJEU,2011,1,10,7,145501.0
138,CIMPAJEU,2012,1,11,8,164440.83333333334
139,CIMPAJEU,2013,1,12,9,181224.25
140,CIMPAJEU,2014,1,13,10,208065.83333333334
141,CIMPAJEU,2015,1,14,11,204386.91666666666
142,CIMPAJEU,2016,1,15,12,218948.66666666666
143,CIMPAJEU,2017,1,16,13,234261.66666666666
144,COMANAS,2002,0,1,0,77987.33333333333
145,COMANAS,2003,0,2,0,86150.8717948718
146,COMANAS,2004,0,3,0,94228.51282051283
147,COMANAS,2005,0,4,0,105603.56410256411
148,COMANAS,2006,0,5,0,122718.15384615384
149,COMANAS,2007,1,6,1,131951.3076923077
150,COMANAS,2008,1,7,2,149944.6923076923
151,COMANAS,2009,1,8,3,168039.94871794872
152,COMANAS,2010,1,9,4,209423.5641025641
153,COMANAS,2011,1,10,5,239571.02564102566
154,COMANAS,2012,1,11,6,282793.25641025644
155,COMANAS,2013,1,12,7,303753.76923076925
156,COMANAS,2014,1,13,8,361727.641025641
157,COMANAS,2015,1,14,9,409575.28205128206
158,COMANAS,2016,1,15,10,478182.6666666667
159,COMANAS,2017,1,16,11,594975.3846153846
160,PORTAL SUL,2002,0,1,0,69932.4
161,PORTAL SUL,2003,0,2,0,78576.8
162,PORTAL SUL,2004,0,3,0,98330.6
163,PORTAL SUL,2005,0,4,0,107463.2
164,PORTAL SUL,2006,0,5,0,117269.8
165,PORTAL SUL,2007,0,6,0,121644.2
166,PORTAL SUL,2008,0,7,0,133637.8
167,PORTAL SUL,2009,0,8,0,151315.8
168,PORTAL SUL,2010,1,9,1,200669.4
169,PORTAL SUL,2011,1,10,2,226137.4
170,PORTAL SUL,2012,1,11,3,263962.4
171,PORTAL SUL,2013,1,12,4,274000.8
172,PORTAL SUL,2014,1,13,5,309229.2
173,PORTAL SUL,2015,1,14,6,313991.4
174,PORTAL SUL,2016,1,15,7,342761.6
175,PORTAL SUL,2017,1,16,8,341695.6
176,COMAGSUL,2002,0,1,0,39679.90909090909
177,COMAGSUL,2003,0,2,0,41736.27272727273
178,COMAGSUL,2004,0,3,0,46985.90909090909
179,COMAGSUL,2005,0,4,0,52987.0
180,COMAGSUL,2006,0,5,0,59657.22727272727
181,COMAGSUL,2007,0,6,0,66130.36363636363
182,COMAGSUL,2008,0,7,0,72472.72727272728
183,COMAGSUL,2009,0,8,0,84423.40909090909
184,COMAGSUL,2010,0,9,0,101715.22727272728
185,COMAGSUL,2011,0,10,0,111362.27272727272
186,COMAGSUL,2012,1,11,1,118031.68181818182
187,COMAGSUL,2013,1,12,2,130320.68181818182
188,COMAGSUL,2014,1,13,3,147301.68181818182
189,COMAGSUL,2015,1,14,4,150529.86363636365
190,COMAGSUL,2016,1,15,5,164208.0
191,COMAGSUL,2017,1,16,6,179974.22727272726
